open_time,open,high,low,close,volume
2026-03-11 19:53:00+00:00,2075.09,2075.87,2075.08,2075.86,578.959
2026-03-11 19:54:00+00:00,2075.87,2076.91,2075.69,2075.94,1465.953
2026-03-11 19:55:00+00:00,2075.94,2076.29,2072.78,2074.62,2666.3
2026-03-11 19:56:00+00:00,2074.62,2074.71,2072.22,2073.13,1378.976
2026-03-11 19:57:00+00:00,2073.13,2073.63,2072.26,2073.63,1254.354
2026-03-11 19:58:00+00:00,2073.63,2075.56,2073.43,2075.2,1434.99
2026-03-11 19:59:00+00:00,2075.2,2075.88,2072.81,2075.13,4192.726
2026-03-11 20:00:00+00:00,2075.13,2075.36,2073.52,2073.52,2327.681
2026-03-11 20:01:00+00:00,2073.52,2073.52,2070.41,2071.41,3283.251
2026-03-11 20:02:00+00:00,2071.42,2071.91,2070.35,2071.66,2051.766
2026-03-11 20:03:00+00:00,2071.66,2071.66,2070.05,2070.64,1277.385
2026-03-11 20:04:00+00:00,2070.65,2072.18,2070.64,2070.66,900.725
2026-03-11 20:05:00+00:00,2070.67,2071.28,2070.0,2071.26,1128.99
2026-03-11 20:06:00+00:00,2071.25,2071.25,2070.18,2070.53,1742.105
2026-03-11 20:07:00+00:00,2070.53,2071.0,2070.0,2070.31,602.437
2026-03-11 20:08:00+00:00,2070.31,2071.1,2070.0,2070.0,792.722
2026-03-11 20:09:00+00:00,2070.0,2070.19,2069.0,2069.39,757.044
2026-03-11 20:10:00+00:00,2069.39,2069.55,2068.0,2068.57,1397.594
2026-03-11 20:11:00+00:00,2068.57,2069.0,2067.06,2067.78,2138.904
2026-03-11 20:12:00+00:00,2067.78,2068.5,2067.77,2068.07,552.596
2026-03-11 20:13:00+00:00,2068.07,2068.53,2067.51,2068.19,668.189
2026-03-11 20:14:00+00:00,2068.18,2068.3,2067.65,2067.95,1187.577
2026-03-11 20:15:00+00:00,2067.95,2068.48,2067.05,2068.04,2265.408
2026-03-11 20:16:00+00:00,2068.03,2070.0,2068.03,2069.71,1658.224
2026-03-11 20:17:00+00:00,2069.72,2069.96,2069.0,2069.28,901.468
2026-03-11 20:18:00+00:00,2069.28,2069.55,2068.42,2069.55,512.889
2026-03-11 20:19:00+00:00,2069.54,2071.0,2069.54,2070.19,905.532
2026-03-11 20:20:00+00:00,2070.18,2070.19,2068.94,2069.38,961.676
2026-03-11 20:21:00+00:00,2069.39,2069.39,2068.52,2068.52,548.934
2026-03-11 20:22:00+00:00,2068.52,2069.78,2068.52,2069.66,1080.017
2026-03-11 20:23:00+00:00,2069.65,2070.89,2069.52,2069.61,915.53
2026-03-11 20:24:00+00:00,2069.61,2069.82,2069.16,2069.36,379.556
2026-03-11 20:25:00+00:00,2069.37,2069.75,2066.65,2068.21,1174.558
2026-03-11 20:26:00+00:00,2068.22,2069.01,2068.22,2068.35,486.915
2026-03-11 20:27:00+00:00,2068.36,2068.36,2066.81,2067.02,699.957
2026-03-11 20:28:00+00:00,2067.02,2067.92,2066.87,2067.72,574.527
2026-03-11 20:29:00+00:00,2067.72,2068.62,2067.72,2068.61,274.674
2026-03-11 20:30:00+00:00,2068.61,2068.75,2067.93,2067.93,476.084
2026-03-11 20:31:00+00:00,2067.94,2069.7,2067.93,2069.19,623.887
2026-03-11 20:32:00+00:00,2069.19,2069.39,2068.27,2068.27,592.225
